"expr","age","dose"
107.351478054914,"1","D1"
104.504438134304,"1","D1"
103.435134210494,"1","D1"
109.572882092261,"1","D1"
114.99380251712,"1","D1"
106.060605357622,"1","D1"
114.593613086389,"1","D1"
103.445768791242,"1","D1"
102.818701663282,"1","D1"
105.053771656134,"1","D1"
102.622521313243,"1","D1"
101.556490777749,"1","D1"
90.918788355138,"1","D1"
107.07892859075,"1","D1"
105.31817820369,"1","D1"
96.8103224207562,"1","D1"
101.062275979053,"2","D1"
100.763332320682,"2","D1"
94.2909916928403,"2","D1"
90.9709491182601,"2","D1"
105.03067173909,"2","D1"
98.4552947178921,"2","D1"
97.0302686754771,"2","D1"
104.207160207475,"2","D1"
102.128772575986,"2","D1"
98.2937412734246,"2","D1"
103.947550971205,"2","D1"
112.008915731737,"2","D1"
98.1486335158637,"2","D1"
99.2229452447424,"2","D1"
102.787408035945,"2","D1"
107.727966061797,"2","D1"
107.999877879655,"1","D2"
106.767976590375,"1","D2"
99.9629920980222,"1","D2"
107.154914700786,"1","D2"
100.679918262015,"1","D2"
106.417726553716,"1","D2"
109.626718303506,"1","D2"
106.683772163296,"1","D2"
106.169251002182,"1","D2"
111.552089774447,"1","D2"
105.13782223425,"1","D2"
107.648486076925,"1","D2"
110.833714699185,"1","D2"
105.582136234946,"1","D2"
94.5546115921606,"1","D2"
101.961820706695,"1","D2"
101.442147901326,"2","D2"
100.968740937749,"2","D2"
111.250770743051,"2","D2"
104.180487855472,"2","D2"
96.2126963150515,"2","D2"
95.9727196871366,"2","D2"
101.898886378062,"2","D2"
97.3220996815177,"2","D2"
94.1802135090763,"2","D2"
104.019714940356,"2","D2"
102.757697920972,"2","D2"
101.851582089502,"2","D2"
105.239530154673,"2","D2"
99.3501976897502,"2","D2"
108.091455147545,"2","D2"
111.639128974569,"2","D2"
