"expr","Therapy"
100,"A"
96,"A"
101,"A"
95,"A"
103,"A"
99,"A"
97,"A"
96,"A"
98,"A"
106,"A"
106,"A"
104,"A"
95,"A"
95,"A"
105,"A"
100,"B"
100,"B"
95,"B"
84,"B"
101,"B"
101,"B"
95,"B"
106,"B"
105,"B"
97,"B"
103,"B"
94,"B"
94,"B"
100,"B"
107,"B"
91,"C"
96,"C"
94,"C"
96,"C"
91,"C"
85,"C"
98,"C"
93,"C"
100,"C"
85,"C"
101,"C"
101,"C"
90,"C"
98,"C"
97,"C"
92,"D"
85,"D"
95,"D"
89,"D"
91,"D"
91,"D"
99,"D"
94,"D"
97,"D"
94,"D"
87,"D"
93,"D"
96,"D"
92,"D"
90,"D"
